Cod_Loc,IdProvincia,IdDepartamento,Categoría,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,Cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,año_act
06028010,06,06028,Editoriales de Libros,Buenos Aires,Almirante Brown,Almirante Brown,Azul Ediciones,Av. 2 De Abril Nº1358,,1852,11,42387615,,,,-34.84006130,-58.39451070,localización precisa,CAL,2019
06028010,06,06028,Editoriales de Libros,Buenos Aires,Almirante Brown,Almirante Brown,Imago Mundi,San Martín 1883,,1852,11,42338252,,https://www.edicionesimagomundi.com/,,-34.84006130,-58.39451070,localización precisa,ISBN,2019
06035010,06,06035,Editoriales de Libros,Buenos Aires,Avellaneda,Avellaneda,Ediciones Del Mar,Zola 3823/25,,1870,11,42070027,,,,-34.68295500,-58.33751100,localización precisa,CAL,2019
06056010,06,06056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,17 grises,Donado 35,4 d,8000,291,4528948,17grises@gmail.com,http://17grises.blogspot.com.ar/,,-38.72190380,-62.26661860,localización precisa,SInCA,2019
06056010,06,06056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Casa del Puente Ediciones / Vacasagrada Ediciones /,9 de Julio 545,Piso 2º A,8000,291,155757571,vacasagradaediciones@gmail.com,,,-38.72055400,-62.28096350,localización precisa,ISBN,2019
06056010,06,06056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Editorial de la Universidad Nacional Del Sur,Santiago Del Estero 639,,8000,291,4595173,,,,-38.70474200,-62.26693500,localización precisa,CAL,2019
06056010,06,06056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Hemisferio Derecho / Meraki,Bolivia 416,,8000,,,diegorosake@gmail.com,,,-38.72694330,-62.28619850,localización precisa,ISBN,2019
06056010,06,06056,Editoriales de Libros,Buenos Aires,Bahia Blanca,Bahia Blanca,Induvio Profesional,Beruti 85,,8000,291,4527524,ventas@dtemas.com.ar,dtemas.com.ar,,-38.72246800,-62.26971500,localización precisa,ISBN,2019
06091010,06,06091,Editoriales de Libros,Buenos Aires,Berazategui,Berazategui,EdiBer - Editorial Municipal de Berazategui /,Narizzano 5675,,1884,11,42562032,ediber@culturaberazategui.gov.ar,www.culturaberazategui.gov.ar,,-34.75801800,-58.20052200,localización precisa,ISBN,2019
06091010,06,06091,Editoriales de Libros,Buenos Aires,Berazategui,Berazategui,El Aleph,Calle 18 Nro 5444,,1884,11,42164821,,,,-34.76156000,-58.20041400,localización precisa,CAL,2019
06371010,06,06371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Books Services Company S.R.L.,Francia 3855,,1650,11,47535758,,,,-34.57575210,-58.53709650,localización precisa,CAL,2019
06371010,06,06371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Infantil.Com,Monteagudo 755,,1672,11,47546261,,,,-34.57575210,-58.53709650,localización precisa,CAL,2019
06371010,06,06371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,Unsam Edita,25 De Mayo 1779,,1650,11,45126360,,,,-34.58072840,-58.52252910,localización precisa,CAL,2019
06371010,06,06371,Editoriales de Libros,Buenos Aires,General San Martin,General San Martin,"Vestales, Editorial",Cantilo 946,,1650,11,47131606,,,,-34.58597850,-58.52610740,localización precisa,CAL,2019
06410010,06,06410,Editoriales de Libros,Buenos Aires,Ituzaingo,Ituzaingo,"Maipue, Editorial",Zufriategui 1153,,1714,11,46249370,,www.maipue.com.ar,,-34.66007500,-58.67121800,localización precisa,CAL,2019
06410010,06,06410,Editoriales de Libros,Buenos Aires,Ituzaingo,Ituzaingo,Re Vista Vocacional,Camacua 982,,1714,11,46230404,,www.posgradosba.com,,-34.64940800,-58.66725700,localización precisa,CAL,2019
06413050,06,06413,Editoriales de Libros,Buenos Aires,Junin,Junin,De Las Tres Lagunas,España 68,,6000,236,4631017,ediciones@delastreslagunas.com.ar,www.delastreslagunas.com.ar,,-34.58605300,-60.94882000,localización precisa,ISBN,2019
06413050,06,06413,Editoriales de Libros,Buenos Aires,Junin,Junin,Puerco espín,Rivadavia 448,,6000,11,1561358096,puercoespineditorial@gmail.com,https://www.facebook.com/puercoespineditorial/,,-34.58587031,-60.95088987,localización precisa,Municipalidad de Junín - Red de Ciudades Creativas,2019
06413050,06,06413,Editoriales de Libros,Buenos Aires,Junin,Junin,Rama Negra,Ricardo Rojas 954,,6000,236,154611768,,https://ramanegra.com.ar/,,-34.56536350,-60.93270410,localización precisa,Municipalidad de Junin -  Red de Ciudades Creativas,2019
06427010,06,06427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Editorial Sudestada,Jose Alico 1583,,1770,11,42921859,,,,-34.70874940,-58.52293700,localización precisa,CAL,2019
06427010,06,06427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Tafi Ediciones,Soberania Nacional 2856,,1757,11,46268598,,,,-34.74710000,-58.58499900,localización precisa,CAL,2019
06427010,06,06427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Universidad Nacional de la Matanza,Florencio Varela 1903,,,11,44808900,,ww.unlam.edu.ar,,-34.67013500,-58.56193600,localización precisa,CAP,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Al Margen,Calle 16 553,,1900,221,4830483,info@edicionesalmargen.com,edicionesalmargen.com,,-34.91834800,-57.96564700,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Aljaba Producciones / Laura Bermúdez Editora,Calle 472 885,,1900,11,54975795,aljabaediciones@gmail.com,aljabaproducciones.com,,-34.87356300,-58.04921600,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,De la Campana,Calle 7 1288,,1900,221,4721429,delatalitadorada@yahoo.com.ar,,,-34.91982400,-57.94298900,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,De la Talita Dorada,Calle 471 y 29 nº 3429,,1900,,,,,,-34.88780820,-58.05909800,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,EDULP,Calle 47 380,,1900,221,4273992,editorial_unlp@yahoo.com.ar,editorial.unlp.edu.ar,,-34.90897300,-57.94757600,localización precisa,ISBN,2019
06441030,06,06441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,La Comuna Ediciones,Calle 50 entre 6 y 7,,1900,221,4271849,lacmuna@netverk.com.ar,,,-34.91422940,-57.94985530,localización precisa,ISBN,2019
