number;Indicator;Group;State;Subgroup;Phase;Time Period;Time Period Label;Time Period Start Date;Time Period End Date;Value;Low CI;High CI;Confidence Interval;Quartile Range
1;Symptoms of Depressive Disorder;National Estimate;United States;United States;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.5;22.7;24.3;22.7 - 24.3;
2;Symptoms of Depressive Disorder;By Age;United States;18 - 29 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;32.7;30.2;35.2;30.2 - 35.2;
3;Symptoms of Depressive Disorder;By Age;United States;30 - 39 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.7;24.1;27.3;24.1 - 27.3;
4;Symptoms of Depressive Disorder;By Age;United States;40 - 49 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;24.8;23.3;26.2;23.3 - 26.2;
5;Symptoms of Depressive Disorder;By Age;United States;50 - 59 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.2;21.5;25.0;21.5 - 25.0;
6;Symptoms of Depressive Disorder;By Age;United States;60 - 69 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;18.4;17.0;19.7;17.0 - 19.7;
7;Symptoms of Depressive Disorder;By Age;United States;70 - 79 years;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;13.6;11.8;15.5;11.8 - 15.5;
8;Symptoms of Depressive Disorder;By Age;United States;80 years and above;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;14.4;9.0;21.4;9.0 - 21.4;
9;Symptoms of Depressive Disorder;By Sex;United States;Male;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;20.8;19.6;22.0;19.6 - 22.0;
10;Symptoms of Depressive Disorder;By Sex;United States;Female;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;26.1;25.2;27.1;25.2 - 27.1;
11;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Hispanic or Latino;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;29.4;26.8;32.1;26.8 - 32.1;
12;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic White, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;21.4;20.6;22.1;20.6 - 22.1;
13;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Black, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;25.6;23.7;27.5;23.7 - 27.5;
14;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Asian, single race;1;1;Apr 23 - May 5, 2020;04/23/2020;5/5/20;23.6;20.3;27.1;20.3 - 27.1;
